ID,School,Count,Grade
0,45,36,4
1,17,23,11
2,2,45,11
3,61,45,11
4,69,50,9
5,50,44,2
6,78,38,3
7,32,32,3
8,35,27,9
9,29,11,9
10,27,15,2
11,63,10,12
12,1,36,9
13,28,50,8
14,69,30,3
15,57,36,2
16,45,44,5
17,26,17,4
18,4,17,11
19,99,20,11
20,10,44,4
21,57,41,6
22,47,42,7
23,66,24,12
24,24,39,7
25,42,43,7
26,40,23,12
27,16,29,2
28,18,11,4
29,82,49,2
30,5,19,6
31,85,33,9
32,100,39,6
33,62,20,3
34,36,30,5
35,14,29,12
36,77,38,4
37,24,28,12
38,48,41,12
39,46,10,7
40,50,29,1
41,40,37,2
42,11,42,4
43,89,32,8
44,25,45,4
45,45,32,6
46,58,37,2
47,67,41,10
48,52,43,10
49,86,24,6
50,6,41,2
51,10,17,11
52,6,29,4
53,5,41,6
54,20,30,10
55,94,43,6
56,97,24,12
57,35,13,8
58,16,30,2
59,90,27,7
60,6,43,5
61,4,19,6
62,99,14,12
63,91,40,4
64,32,23,12
65,94,30,10
66,66,45,3
67,92,38,6
68,81,10,7
69,17,27,3
70,40,44,4
71,92,20,4
72,44,20,11
73,93,10,5
74,25,10,8
75,68,12,5
76,77,31,4
77,54,37,4
78,62,42,10
79,64,33,11
80,62,29,4
81,1,46,5
82,82,39,12
83,99,46,9
84,17,19,3
85,19,15,4
86,71,30,8
87,83,31,9
88,26,25,4
89,1,14,12
90,33,27,7
91,88,42,1
92,89,42,1
93,15,12,9
94,37,21,5
95,22,32,7
96,94,20,12
97,90,34,1
98,76,31,12
99,77,36,10
100,14,48,7
101,73,45,11
102,91,27,7
103,25,25,11
104,36,33,8
105,49,20,8
106,39,14,5
107,93,36,10
108,9,38,6
109,31,29,6
110,20,36,10
111,38,13,6
112,93,38,9
113,55,21,6
114,48,43,5
115,5,32,11
116,96,13,4
117,52,15,2
118,18,49,7
119,77,46,4
120,64,41,8
121,1,33,2
122,62,42,6
123,86,30,4
124,26,18,10
125,71,45,6
126,12,33,8
127,69,41,7
128,95,36,5
129,39,15,1
130,20,19,3
131,48,13,3
132,38,12,7
133,70,20,3
134,16,20,2
135,84,11,11
136,50,45,6
137,48,21,11
138,61,39,1
139,27,41,4
140,24,41,7
141,95,30,5
142,71,22,12
143,20,45,11
144,15,27,6
145,47,45,5
146,81,41,11
147,14,50,8
148,53,32,1
149,8,35,2
150,54,35,7
151,2,35,6
152,82,16,4
153,6,13,12
154,67,34,8
155,87,28,10
156,51,13,11
157,91,26,5
158,21,47,6
159,16,28,7
160,10,32,7
161,34,48,2
162,30,46,10
163,34,16,2
164,27,16,8
165,51,19,10
166,35,21,12
167,20,14,9
168,68,37,4
169,43,48,3
170,78,16,4
171,10,44,1
172,85,33,3
173,94,29,5
174,24,16,8
175,47,27,10
176,22,36,2
177,55,10,4
178,8,45,9
179,56,15,11
180,67,10,4
181,78,23,12
182,6,27,9
183,9,37,2
184,94,50,4
185,51,21,12
